source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Romain Dillet,"Bitcoin is also having a very, very bad day","Bitcoin is going through a remarkably bad day. It turns out all assets are having a rough month — including cryptocurrencies. A couple of hours ago, the average price of BTC dropped by 15% in just 20 minutes. On CoinGecko, 1 BTC was worth around $7,250 across…",http://techcrunch.com/2020/03/12/bitcoin-is-also-having-a-very-very-bad-day/,https://techcrunch.com/wp-content/uploads/2019/04/bitcoin-bitfinex.jpg?w=750,2020-03-12T12:34:45Z,"Bitcoin is going through a remarkably bad day. It turns out all assets are having a rough month including cryptocurrencies. A couple of hours ago, the average price of BTC dropped by 15% in just 20 minutes.
On CoinGecko, 1 BTC was worth around $7,250 across … [+1146 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Stan Schroeder,HTC's Exodus 5G router can be a Bitcoin node,"After launching two cryptocurrency-oriented smartphones, the HTC Exodus 1 and the Exodus 1s, the company is expanding the lineup with an entirely new device: a 5G router that can function as a full Bitcoin node. Called the HTC Exodus 5G hub, the Android-based…",https://mashable.com/article/htc-exodus-5g-hub/,https://mondrian.mashable.com/2020%252F03%252F04%252F22%252Fe8359029a8744acb93599edc973a0d95.7928e.jpg%252F1200x630.jpg?signature=b9tTdqwOKyi9aHqSL-KIA6J_RwY=,2020-03-04T13:00:00Z,"After launching two cryptocurrency-oriented smartphones, the HTC Exodus 1 and the Exodus 1s, the company is expanding the lineup with an entirely new device: a 5G router that can function as a full Bitcoin node. 
Called the HTC Exodus 5G hub, the Android-bas… [+2230 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,India lifts ban on cryptocurrency trading,India’s Supreme Court on Wednesday struck down central bank’s two-year-old ban on cryptocurrency trading in the country in what many said was a “historic” verdict. The Reserve Bank of India had imposed a ban on cryptocurrency trading in April 2018 that barred…,http://techcrunch.com/2020/03/03/india-lifts-ban-on-cryptocurrency-trading/,https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-1174941001.jpg?w=600,2020-03-04T06:19:08Z,"Indias Supreme Court on Wednesday overturned central banks two-year-old ban on cryptocurrency trading in the country in what many said was a historic verdict.
The Reserve Bank of India had imposed a ban on cryptocurrency trading in April 2018 that barred ban… [+1336 chars]"
"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Square gets green light to become a bank’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Descartes used to say: Your heart must go …",https://thenextweb.com/hardfork/2020/03/19/satoshi-nakaboto-square-gets-green-light-to-become-a-bank/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-03-19T10:46:29Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Descartes used to say: Your heart must go … [+2896 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Jonathan Shieber,Former Coinbase exec is now down with OCC (the Office of the Comptroller of the Currency),"Former Coinbase chief legal officer Brian Brooks has been tapped as the chief operating officer and first deputy comptroller of the Office of the Comptroller of the Currency, beginning April 1, 2020. In the role, Brooks will help the OCC in its mission of cha…",http://techcrunch.com/2020/03/16/former-coinbase-exec-is-now-down-with-occ-the-office-of-the-comptroller-of-the-currency/,https://techcrunch.com/wp-content/uploads/2019/03/GettyImages-1046001872.jpg?w=609,2020-03-16T22:56:38Z,"Former Coinbase chief legal officer Brian Brooks has been tapped as the chief operating officer and first deputy comptroller of the Office of the Comptroller of the Currency, beginning April 1, 2020.
In the role, Brooks will help the OCC in its mission of ch… [+1156 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Danny Crichton,South Korea passes one of the world’s first comprehensive cryptocurrency laws,The South Korean National Assembly passed new legislation today that will provide a framework for the regulation and legalization of cryptocurrencies and crypto exchanges. In a unanimous vote during a special session of the legislature convened amidst the cou…,http://techcrunch.com/2020/03/05/south-korea-passes-one-of-the-worlds-first-comprehensive-cryptocurrency-laws/,https://techcrunch.com/wp-content/uploads/2020/03/8496230391_58e1c0f1ab_o.jpg?w=648,2020-03-05T16:07:24Z,"The South Korean National Assembly passed new legislation today that will provide a framework for the regulation and legalization of cryptocurrencies and crypto exchanges.
In a unanimous vote during a special session of the legislature convened amidst the co… [+2878 chars]"
"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Germany deems Bitcoin a financial instrument’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Rousseau used to say: Success is just a pr…",https://thenextweb.com/hardfork/2020/03/04/satoshi-nakaboto-germany-deems-bitcoin-a-financial-instrument/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-03-04T11:34:31Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Rousseau used to say: Success is just … [+2892 chars]"
"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,"Satoshi Nakaboto: ‘Bitcoin hits 3-month low as it dips below $8,000’","Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Hegel used to say: Whip it, whip it, whip …",https://thenextweb.com/hardfork/2020/03/10/satoshi-nakaboto-bitcoin-hits-3-month-low-as-it-dips-below-8000/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-03-10T10:08:22Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Hegel used to say: Whip it, whip it, w… [+2889 chars]"
"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘The Simpsons calls Bitcoin the cash of the future’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Bentham used to say: Fight the power! Bitc…",https://thenextweb.com/hardfork/2020/03/12/satoshi-nakaboto-the-simpsons-calls-bitcoin-the-cash-of-the-future/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-03-12T11:31:23Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Bentham used to say: Fight the power!… [+3163 chars]"
"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Steven Seagal to pay $330K settlement for promoting a Bitcoin scam’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Hannah Arendt used to say: Crack open this…",https://thenextweb.com/hardfork/2020/02/28/satoshi-nakaboto-steven-seagal-to-pay-330k-settlement-for-promoting-a-bitcoin-scam/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-02-28T11:10:12Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Hannah Arendt used to say: Crack open … [+2601 chars]"
"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘New York power plant makes $50K a day mining Bitcoin’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Stephen Hawking used to say: Let’s get it!…",https://thenextweb.com/hardfork/2020/03/06/satoshi-nakaboto-new-york-power-plant-makes-50k-a-day-mining-bitcoin/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-03-06T10:36:53Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Stephen Hawking used to say: Lets get … [+3088 chars]"
